ダウンロードした時刻：2021/11/10 21:30:43,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,札幌,札幌,札幌,東京,東京,東京,名古屋,名古屋,名古屋,大阪,大阪,大阪,福岡,福岡,福岡
,平均気温(℃),降水量の合計(mm),日照時間(時間),平均気温(℃),降水量の合計(mm),日照時間(時間),平均気温(℃),降水量の合計(mm),日照時間(時間),平均気温(℃),降水量の合計(mm),日照時間(時間),平均気温(℃),降水量の合計(mm),日照時間(時間)
2020年9月,20.1,53.5,140.1,24.2,117.5,105.7,25.4,230.5,148.5,25.8,98,134.6,24.5,310.5,168.2
2020年10月,13.1,66,152.9,17.5,205,113.9,18,269,178.2,18.7,205,182.8,19.4,64.5,211
2020年11月,6.3,113,84,14,14.5,156.6,14,36.5,202.5,14.7,47,173.2,15.3,25,150.1
2020年12月,-1.6,26.5,95.2,7.7,13,167.9,7.4,22,178.3,8.7,18.5,187,8.5,42.5,131.2
2021年1月,-4.4,90.5,109.5,5.4,43.5,172.4,5,56.5,161.7,6.2,64.5,176.3,7,45.5,118.5
2021年2月,-2.2,78.5,114.2,8.5,88.5,214.9,7.5,46.5,164.8,8.7,45,189.3,10.2,79.5,173.7
2021年3月,3.8,79.5,161.7,12.8,173,193.2,12,203.5,192.8,12.2,145.5,194.5,13.5,116.5,186.6
2021年4月,7.9,112,207.1,15.1,156,218.5,15.2,192,219.5,15.5,224,221.2,16.7,66,214.5
2021年5月,13.1,76.5,148.5,19.6,99.5,150.5,19.5,254,151.9,20,340,169.9,20.4,133.5,179.8
2021年6月,18.9,50.5,260.7,22.7,168.5,131.6,23.4,137,153.7,23.9,172,173.6,24.2,123,187.3
2021年7月,23.9,7.5,285.3,25.9,310,160.2,27.4,312.5,175.2,27.9,268.5,191,28.9,45.5,200.8
2021年8月,22.9,108.5,187.4,27.4,382.5,175.6,27.8,347,167.1,28.1,314.5,165.2,27.5,881.5,144.9
2021年9月,18.8,73,201.2,22.3,222.5,100.7,24.1,224,126.1,24.8,192,124.9,25.9,246.5,150.3
